# NVIDIA H100 80GB HBM3, 132 SMs, cold weights, 11 repetitions; synthetic BF16 inputs
M,N,K,variant,us,weight_GBs,lt_mismatches,max_abs_lt,cpu_max_abs,cpu_failures,repeat_mismatches
32,15360,3840,native_gemv_grid528,338.240,348.76,929,0.00390625,0.0008637181,0,0
32,15360,3840,transpose_bk128_d3_s1,57.344,2057.14,0,0,0.0008637181,0,0
32,15360,3840,transpose_bk256_d2_s1,56.512,2087.43,0,0,0.0008637181,0,0
32,15360,3840,driver_transpose_bk128_d3_s1,56.736,2079.19,0,0,0.0008637181,0,0
32,15360,3840,driver_transpose_bk256_d2_s1,56.864,2074.51,0,0,0.0008637181,0,0
32,15360,3840,transpose_bk128_d3_s4,62.240,1895.32,858,0.00390625,0.0008637181,0,0
32,15360,3840,transpose_bk256_d2_s4,61.664,1913.03,858,0.00390625,0.0008637181,0,0
32,15360,3840,driver_transpose_bk128_d3_s4,62.048,1901.19,858,0.00390625,0.0008637181,0,0
32,15360,3840,driver_transpose_bk256_d2_s4,62.112,1899.23,858,0.00390625,0.0008637181,0,0
32,15360,3840,transpose_bk128_d3_s8,66.400,1776.58,906,0.00390625,0.0008637181,0,0
32,15360,3840,transpose_bk256_d2_s8,66.400,1776.58,906,0.00390625,0.0008637181,0,0
32,15360,3840,driver_transpose_bk128_d3_s8,66.944,1762.14,906,0.00390625,0.0008637181,0,0
32,15360,3840,driver_transpose_bk256_d2_s8,67.040,1759.62,906,0.00390625,0.0008637181,0,0
32,262144,3840,cublaslt,663.936,3032.32,0,0,0.001181988,0,0
32,262144,3840,native_gemv_grid132,6502.976,309.59,15333,0.00390625,0.001181988,0,0
32,262144,3840,native_gemv_grid528,5330.880,377.66,15333,0.00390625,0.001181988,0,0
32,262144,3840,transpose_bk128_d3_s1,744.256,2705.07,0,0,0.001181988,0,0
32,262144,3840,transpose_bk256_d2_s1,738.272,2727.00,0,0,0.001181988,0,0
32,262144,3840,driver_transpose_bk128_d3_s1,741.056,2716.75,0,0,0.001181988,0,0
32,262144,3840,driver_transpose_bk256_d2_s1,739.136,2723.81,0,0,0.001181988,0,0
32,262144,3840,transpose_bk128_d3_s4,950.272,2118.62,13993,0.00390625,0.001181988,0,0
32,262144,3840,transpose_bk256_d2_s4,949.152,2121.12,13993,0.00390625,0.001181988,0,0
32,262144,3840,driver_transpose_bk128_d3_s4,949.472,2120.41,13993,0.00390625,0.001181988,0,0
32,262144,3840,driver_transpose_bk256_d2_s4,949.120,2121.19,13993,0.00390625,0.001181988,0,0
32,262144,3840,transpose_bk128_d3_s8,1105.472,1821.18,14782,0.00390625,0.001181988,0,0
32,262144,3840,transpose_bk256_d2_s8,1099.168,1831.63,14782,0.00390625,0.001181988,0,0
32,262144,3840,driver_transpose_bk128_d3_s8,1106.624,1819.29,14782,0.00390625,0.001181988,0,0
32,262144,3840,driver_transpose_bk256_d2_s8,1099.296,1831.41,14782,0.00390625,0.001181988,0,0
32,83,136,cublaslt,8.192,2.76,0,0,0.000243227,0,0
32,83,136,native_gemv_grid132,11.008,2.05,0,0,0.000243227,0,0
32,83,136,native_gemv_grid528,11.040,2.04,0,0,0.000243227,0,0
32,83,136,transpose_bk128_d3_s1,5.152,4.38,0,0,0.000243227,0,0
32,83,136,transpose_bk256_d2_s1,5.184,4.35,0,0,0.000243227,0,0
32,83,136,driver_transpose_bk128_d3_s1,5.312,4.25,0,0,0.000243227,0,0
32,83,136,driver_transpose_bk256_d2_s1,5.312,4.25,0,0,0.000243227,0,0
32,83,136,transpose_bk128_d3_s4,7.680,2.94,0,0,0.000243227,0,0
32,83,136,transpose_bk256_d2_s4,7.648,2.95,0,0,0.000243227,0,0
32,83,136,driver_transpose_bk128_d3_s4,7.968,2.83,0,0,0.000243227,0,0
32,83,136,driver_transpose_bk256_d2_s4,7.616,2.96,0,0,0.000243227,0,0
32,83,136,transpose_bk128_d3_s8,7.680,2.94,0,0,0.000243227,0,0
32,83,136,transpose_bk256_d2_s8,7.648,2.95,0,0,0.000243227,0,0
32,83,136,driver_transpose_bk128_d3_s8,7.968,2.83,0,0,0.000243227,0,0
32,83,136,driver_transpose_bk256_d2_s8,7.776,2.90,0,0,0.000243227,0,0
