model,kind,phase,batch,query_rows,context,head_dim,q_heads,kv_heads,native_gf,native_splits,fa_version,relative_l2,passed,hot_native_us,hot_vllm_us,evicted_native_us,evicted_vllm_us,native_over_library
gemma31,full,prefill,1,1024,1024,512,32,4,4,1,4,0.0005632397951558232,True,340.36798775196075,139.0240043401718,340.33599495887756,137.55200058221817,2.4742351512034206
gemma31,full,prefill,1,1024,4096,512,32,4,4,1,4,0.0006692205788567662,True,1657.6640009880066,790.4319763183594,1656.6239595413208,787.2640192508698,2.1042800369788277
gemma31,full,prefill,1,4096,4096,512,32,4,4,1,4,0.00063691521063447,True,3873.9359378814697,1767.3279643058777,3872.480034828186,1763.0079984664917,2.1965186988354937
gemma31,full,prefill,1,1024,8192,512,32,4,4,1,4,0.000692889909259975,True,3412.368059158325,1612.4800443649292,3410.032033920288,1615.5200004577637,2.110795306126846
gemma31,full,prefill,1,8192,8192,512,32,4,4,1,4,0.0006615374004468322,True,14530.207633972168,6733.10399055481,14527.408123016357,6726.495981216431,2.1597289530215695
gemma31,full,prefill,1,1024,32768,512,32,4,4,1,4,0.0007167111034505069,True,13937.024116516113,6920.383930206299,13933.504104614258,7039.103984832764,1.9794428573064038
gemma31,full,prefill,1,8192,32768,512,32,4,4,1,4,0.0007187778828665614,True,98746.62399291992,48452.62336730957,98739.29595947266,49657.19985961914,1.9884185221601007
qwen27,full,decode,1,1,1024,256,24,4,2,11,3,0.0021878168918192387,True,19.360000267624855,15.263999812304974,21.67999930679798,15.728000551462173,1.3784332748374981
qwen27,full,decode,4,1,1024,256,24,4,2,11,3,0.0021432009525597095,True,60.095999389886856,16.335999593138695,60.63999980688095,20.031999796628952,3.0271565706128674
qwen27,full,decode,16,1,1024,256,24,4,2,11,3,0.0021735993213951588,True,217.98399835824966,38.52799907326698,220.46399861574173,42.1920008957386,5.225255828955214
qwen27,full,decode,1,1,4096,256,24,4,2,11,3,0.002174102235585451,True,53.74399945139885,18.543999642133713,53.79199981689453,21.424000151455402,2.5108289505515273
qwen27,full,decode,4,1,4096,256,24,4,2,11,3,0.002148593310266733,True,186.97600066661835,39.37599994242191,188.49600106477737,42.208001017570496,4.465883162443765
qwen27,full,decode,16,1,4096,256,24,4,2,11,3,0.0021661289501935244,True,726.4959812164307,101.77600011229515,728.3999919891357,107.53599926829338,6.773545574927316
qwen27,full,decode,1,1,8192,256,24,4,2,11,3,0.0022709867917001247,True,95.74399888515472,21.90400008112192,95.90400010347366,29.392000287771225,3.2629286596521734
qwen27,full,decode,4,1,8192,256,24,4,2,11,3,0.0021891372743993998,True,354.19200360774994,59.15199965238571,354.8000007867813,65.0399997830391,5.4551045813395715
qwen27,full,decode,16,1,8192,256,24,4,2,11,3,0.0022223142441362143,True,1393.9200043678284,187.02399730682373,1393.936038017273,192.48000532388687,7.241978384568783
qwen27,full,decode,1,1,32768,256,24,4,2,11,3,0.00213429844006896,True,348.4639972448349,61.24800071120262,347.8719890117645,68.1919977068901,5.101360873852441
qwen27,full,decode,4,1,32768,256,24,4,2,11,3,0.0022060570772737265,True,1369.1999912261963,187.00800091028214,1367.583990097046,192.56000220775604,7.102118687252287
qwen27,full,decode,16,1,32768,256,24,4,2,11,3,0.0022368086501955986,True,5444.495916366577,693.343997001648,5439.647912979126,697.9679763317108,7.79354941406928
qwen27,full,prefill,1,1024,1024,256,24,4,2,1,3,0.0014860226074233651,True,174.3519976735115,38.52799907326698,174.9119982123375,39.20000046491623,4.462040717802611
qwen27,full,prefill,1,1024,4096,256,24,4,2,1,3,0.0026989574544131756,True,809.0719878673553,179.1520044207573,808.6880147457123,177.34399437904358,4.559996618872105
qwen27,full,prefill,1,4096,4096,256,24,4,2,1,3,0.0017435529734939337,True,1911.9359850883484,317.56798923015594,1910.7680320739746,315.43999910354614,6.05746905117999
qwen27,full,prefill,1,1024,8192,256,24,4,2,1,3,0.0026652568485587835,True,1656.1440229415894,349.7439920902252,1655.4880142211914,348.91200065612793,4.744715031606971
qwen27,full,prefill,1,8192,8192,256,24,4,2,1,3,0.0018318314105272293,True,7093.919992446899,1141.439974308014,7090.5921459198,1138.9120221138,6.225759328415719
qwen27,full,prefill,1,1024,32768,256,24,4,2,1,3,0.0027034562081098557,True,6732.464075088501,1381.4720511436462,6731.136083602905,1379.8879981040955,4.878030748039831
qwen27,full,prefill,1,8192,32768,256,24,4,2,1,3,0.002700108103454113,True,47700.96015930176,7638.095855712891,47698.768615722656,7633.568048477173,6.248554845232319
