shape,M,N,K,arm,splitK,BM,BN,BK,stages,threads,grid,repeat,samples,median_us,p10_us,p90_us,logical_weight_GBs,physical_weight_passes,flush_bytes
gemma31_5376x8192,8,5376,8192,scalar,0,0,0,0,0,256,132,0,40,119.839996,118.431999,124.576004,734.983178,1,268435456
gemma31_5376x8192,8,5376,8192,zg0,1,16,128,64,4,256,132,0,40,99.440002,98.624001,106.976006,885.764119,1,268435456
gemma31_5376x8192,8,5376,8192,zg0,2,16,128,64,4,256,132,0,40,60.575996,59.647999,70.271996,1454.047637,1,268435456
gemma31_5376x8192,8,5376,8192,zg0,4,16,128,64,4,256,132,0,40,68.031998,66.175995,76.736000,1294.690499,1,268435456
gemma31_5376x8192,8,5376,8192,zg0,8,16,128,64,4,256,132,0,40,58.352001,56.864002,67.231995,1509.466411,1,268435456
gemma31_5376x8192,8,5376,8192,zg0,16,16,128,64,4,256,132,0,40,60.160000,58.463997,69.344002,1464.102128,1,268435456
gemma31_5376x8192,8,5376,8192,cublasLt,0,0,0,0,0,0,0,1,40,51.711998,49.952000,54.239998,1703.287257,0,268435456
gemma31_5376x8192,8,5376,8192,scalar,0,0,0,0,0,256,132,1,40,119.423996,118.400002,120.704002,737.543457,1,268435456
gemma31_5376x8192,8,5376,8192,zg0,1,16,128,64,4,256,132,1,40,98.192001,97.056000,99.487999,897.021998,1,268435456
gemma31_5376x8192,8,5376,8192,zg0,2,16,128,64,4,256,132,1,40,60.320000,58.751999,61.439999,1460.218568,1,268435456
gemma31_5376x8192,8,5376,8192,zg0,4,16,128,64,4,256,132,1,40,67.264000,65.984001,68.512001,1309.472883,1,268435456
gemma31_5376x8192,8,5376,8192,zg0,8,16,128,64,4,256,132,1,40,58.160000,56.992001,60.639999,1514.449519,1,268435456
gemma31_5376x8192,8,5376,8192,zg0,16,16,128,64,4,256,132,1,40,61.296001,59.712002,64.064003,1436.967894,1,268435456
gemma31_21504x5376,8,21504,5376,cublasLt,0,0,0,0,0,0,0,0,40,100.096001,97.727997,102.751999,2309.892583,0,268435456
gemma31_21504x5376,8,21504,5376,scalar,0,0,0,0,0,256,132,0,40,241.712006,240.480011,244.223999,956.555769,1,268435456
gemma31_21504x5376,8,21504,5376,zg0,1,16,128,64,4,256,132,0,40,144.192017,142.816010,146.112000,1603.493834,1,268435456
gemma31_21504x5376,8,21504,5376,zg0,2,16,128,64,4,256,132,0,40,115.695999,114.880005,117.760002,1998.435624,1,268435456
gemma31_21504x5376,8,21504,5376,zg0,4,16,128,64,4,256,132,0,40,116.031998,114.463997,117.951996,1992.648649,1,268435456
gemma31_21504x5376,8,21504,5376,zg0,8,16,128,64,4,256,132,0,40,115.584000,111.744003,118.335999,2000.372093,1,268435456
gemma31_21504x5376,8,21504,5376,zg0,16,16,128,64,4,256,132,0,40,128.207993,126.975998,130.880005,1803.405576,1,268435456
gemma31_21504x5376,8,21504,5376,cublasLt,0,0,0,0,0,0,0,1,40,99.984001,98.591995,102.559998,2312.480077,0,268435456
gemma31_21504x5376,8,21504,5376,scalar,0,0,0,0,0,256,132,1,40,242.144012,239.904007,244.192001,954.849152,1,268435456
gemma31_21504x5376,8,21504,5376,zg0,1,16,128,64,4,256,132,1,40,143.408005,141.503998,145.087997,1612.260181,1,268435456
gemma31_21504x5376,8,21504,5376,zg0,2,16,128,64,4,256,132,1,40,115.536003,114.720001,117.983994,2001.203157,1,268435456
gemma31_21504x5376,8,21504,5376,zg0,4,16,128,64,4,256,132,1,40,115.936005,114.496002,118.304001,1994.298513,1,268435456
gemma31_21504x5376,8,21504,5376,zg0,8,16,128,64,4,256,132,1,40,115.824005,111.680000,118.751999,1996.226969,1,268435456
gemma31_21504x5376,8,21504,5376,zg0,16,16,128,64,4,256,132,1,40,129.487991,128.191986,132.320007,1785.578756,1,268435456
gemma31_5376x21504,8,5376,21504,cublasLt,0,0,0,0,0,0,0,0,40,99.727997,98.655998,103.423996,2318.416172,0,268435456
gemma31_5376x21504,8,5376,21504,scalar,0,0,0,0,0,256,132,0,40,450.704010,449.119995,452.832001,512.999680,1,268435456
gemma31_5376x21504,8,5376,21504,zg0,1,16,128,64,4,256,132,0,40,238.368011,237.696014,240.160004,969.974967,1,268435456
gemma31_5376x21504,8,5376,21504,zg0,2,16,128,64,4,256,132,0,40,128.335999,127.583992,129.824005,1801.606782,1,268435456
gemma31_5376x21504,8,5376,21504,zg0,4,16,128,64,4,256,132,0,40,142.464005,141.440002,144.384003,1622.943396,1,268435456
gemma31_5376x21504,8,5376,21504,zg0,8,16,128,64,4,256,132,0,40,115.024002,113.760002,117.472000,2010.111003,1,268435456
gemma31_5376x21504,8,5376,21504,zg0,16,16,128,64,4,256,132,0,40,116.863998,113.056000,119.487999,1978.462212,1,268435456
gemma31_5376x21504,8,5376,21504,cublasLt,0,0,0,0,0,0,0,1,40,99.439995,98.367996,100.383995,2325.130995,0,268435456
gemma31_5376x21504,8,5376,21504,scalar,0,0,0,0,0,256,132,1,40,450.591980,448.959991,452.320007,513.127228,1,268435456
gemma31_5376x21504,8,5376,21504,zg0,1,16,128,64,4,256,132,1,40,237.664001,236.384003,238.912003,972.848256,1,268435456
gemma31_5376x21504,8,5376,21504,zg0,2,16,128,64,4,256,132,1,40,127.839996,127.008003,129.183990,1808.596746,1,268435456
gemma31_5376x21504,8,5376,21504,zg0,4,16,128,64,4,256,132,1,40,142.496002,141.119995,144.127991,1622.578936,1,268435456
gemma31_5376x21504,8,5376,21504,zg0,8,16,128,64,4,256,132,1,40,114.895996,113.952003,117.279999,2012.350369,1,268435456
gemma31_5376x21504,8,5376,21504,zg0,16,16,128,64,4,256,132,1,40,116.864006,114.175995,119.967995,1978.462080,1,268435456
gemma31_16384x5376,8,16384,5376,cublasLt,0,0,0,0,0,0,0,0,40,78.447998,77.600006,81.408005,2245.573730,0,268435456
gemma31_16384x5376,8,16384,5376,scalar,0,0,0,0,0,256,132,0,40,189.360001,188.096008,191.072006,930.295564,1,268435456
gemma31_16384x5376,8,16384,5376,zg0,1,16,128,64,4,256,132,0,40,88.112000,86.751999,89.344002,1999.282368,1,268435456
gemma31_16384x5376,8,16384,5376,zg0,2,16,128,64,4,256,132,0,40,86.255997,84.512001,87.584000,2042.301614,1,268435456
gemma31_16384x5376,8,16384,5376,zg0,4,16,128,64,4,256,132,0,40,86.815994,85.472000,90.336006,2029.128085,1,268435456
